input,time
0,0.00000200
1,0.00000100
2,0.00000200
3,0.00000100
4,0.00000100
5,0.00000200
6,0.00000100
7,0.00000100
8,0.00000200
9,0.00000200
10,0.00000100
11,0.00000200
12,0.00000200
13,0.00000100
14,0.00000200
15,0.00000200
16,0.00000100
17,0.00000200
18,0.00000200
19,0.00000100
20,0.00000200
21,0.00000200
22,0.00000100
23,0.00000200
24,0.00000200
25,0.00000100
26,0.00000200
27,0.00000100
28,0.00000200
29,0.00000200
30,0.00000100
31,0.00000200
32,0.00000100
33,0.00000200
34,0.00000100
35,0.00000200
36,0.00000200
37,0.00000100
38,0.00000200
39,0.00000100
40,0.00000200
41,0.00000100
42,0.00000200
43,0.00000100
44,0.00000200
45,0.00000100
46,0.00000200
47,0.00000100
48,0.00000200
49,0.00000100
50,0.00000200
51,0.00000100
52,0.00000200
53,0.00000100
54,0.00000200
55,0.00000100
56,0.00000200
57,0.00000200
58,0.00000200
59,0.00000200
60,0.00000100
61,0.00000200
62,0.00000100
63,0.00000200
64,0.00000200
65,0.00000200
66,0.00000200
67,0.00000100
68,0.00000200
69,0.00000200
70,0.00000200
71,0.00000200
72,0.00000100
73,0.00000200
74,0.00000200
75,0.00000100
76,0.00000200
77,0.00000200
78,0.00000100
79,0.00000200
80,0.00000200
81,0.00000100
82,0.00000200
83,0.00000200
84,0.00000200
85,0.00000200
86,0.00000200
87,0.00000200
88,0.00000100
89,0.00000200
90,0.00000200
91,0.00000200
92,0.00000100
93,0.00000200
94,0.00000200
95,0.00000200
96,0.00000200
97,0.00000200
98,0.00000200
99,0.00000200
100,0.00000200
101,0.00000200
102,0.00000100
103,0.00000200
104,0.00000200
105,0.00000200
106,0.00000200
107,0.00000200
108,0.00000200
109,0.00000200
110,0.00000200
111,0.00000200
112,0.00000200
113,0.00000200
114,0.00000200
115,0.00000200
116,0.00000200
117,0.00000200
118,0.00000200
119,0.00000200
120,0.00000200
121,0.00000200
122,0.00000200
123,0.00000200
124,0.00000200
125,0.00000200
126,0.00000200
127,0.00000200
128,0.00000200
129,0.00000200
130,0.00000200
131,0.00000200
132,0.00000200
133,0.00000200
134,0.00000200
135,0.00000200
136,0.00000200
137,0.00000200
138,0.00000200
139,0.00000200
140,0.00000200
141,0.00000200
142,0.00000200
143,0.00000200
144,0.00000200
145,0.00000200
146,0.00000200
147,0.00000300
148,0.00000200
149,0.00000200
150,0.00000200
151,0.00000200
152,0.00000200
153,0.00000200
154,0.00000300
155,0.00000300
156,0.00000200
157,0.00000200
158,0.00000200
159,0.00000200
160,0.00000200
161,0.00000300
162,0.00000200
163,0.00000200
164,0.00000200
165,0.00000200
166,0.00000300
167,0.00000200
168,0.00000200
169,0.00000200
170,0.00000200
171,0.00000300
172,0.00000200
173,0.00000200
174,0.00000200
175,0.00000300
176,0.00000200
177,0.00000200
178,0.00000200
179,0.00000300
180,0.00000200
181,0.00000200
182,0.00000300
183,0.00000300
184,0.00000200
185,0.00000200
186,0.00000300
187,0.00000200
188,0.00000200
189,0.00000300
190,0.00000200
191,0.00000300
192,0.00000300
193,0.00000200
194,0.00000300
195,0.00000300
196,0.00000200
197,0.00000300
198,0.00000200
199,0.00000200
200,0.00000300
201,0.00000200
202,0.00000300
203,0.00000300
204,0.00000200
205,0.00000300
206,0.00000200
207,0.00000300
208,0.00000200
209,0.00000300
210,0.00000300
211,0.00000300
212,0.00000300
213,0.00000200
214,0.00000300
215,0.00000200
216,0.00000300
217,0.00000200
218,0.00000300
219,0.00000200
220,0.00000300
221,0.00000200
222,0.00000300
223,0.00000200
224,0.00000300
225,0.00000200
226,0.00000300
227,0.00000200
228,0.00000300
229,0.00000300
230,0.00000200
231,0.00000300
232,0.00000300
233,0.00000300
234,0.00000300
235,0.00000200
236,0.00000300
237,0.00000300
238,0.00000200
239,0.00000300
240,0.00000200
241,0.00000300
242,0.00000300
243,0.00000200
244,0.00000300
245,0.00000300
246,0.00000200
247,0.00000300
248,0.00000300
249,0.00000200
250,0.00000300
251,0.00000300
252,0.00000300
253,0.00000400
254,0.00000400
255,0.00000400
256,0.00000300
257,0.00000300
258,0.00000300
259,0.00000300
260,0.00000300
261,0.00000300
262,0.00000300
263,0.00000200
264,0.00000300
265,0.00000300
266,0.00000300
267,0.00000300
268,0.00000300
269,0.00000300
270,0.00000300
271,0.00000200
272,0.00000300
273,0.00000300
274,0.00000300
275,0.00000300
276,0.00000300
277,0.00000300
278,0.00000300
279,0.00000300
280,0.00000300
281,0.00000300
282,0.00000300
283,0.00000300
284,0.00000200
285,0.00000300
286,0.00000300
287,0.00000300
288,0.00000300
289,0.00000300
290,0.00000300
291,0.00000300
292,0.00000300
293,0.00000300
294,0.00000300
295,0.00000300
296,0.00000300
297,0.00000300
298,0.00000300
299,0.00000300
300,0.00000300
301,0.00000300
302,0.00000300
303,0.00000300
304,0.00000300
305,0.00000300
306,0.00000300
307,0.00000300
308,0.00000300
309,0.00000300
310,0.00000300
311,0.00000300
312,0.00000300
313,0.00000300
314,0.00000300
315,0.00000300
316,0.00000300
317,0.00000300
318,0.00000300
319,0.00000300
320,0.00000400
321,0.00000400
322,0.00000300
323,0.00000300
324,0.00000300
325,0.00000300
326,0.00000300
327,0.00000300
328,0.00000300
329,0.00000400
330,0.00000400
331,0.00000300
332,0.00000300
333,0.00000400
334,0.00000300
335,0.00000300
